구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2010년08월18일,1914.83,1717.29,1514.67,1077.07
2010년08월19일,1914.05,1716.87,1514.25,1076.68
2010년08월20일,1914.19,1716.55,1513.93,1076.07
2010년08월21일,1914.52,1716.22,1513.69,1075.51
2010년08월22일,1914.28,1716.03,1513.41,1075.23
2010년08월23일,1913.86,1715.62,1513.12,1074.81
2010년08월24일,1910.43,1713.94,1511.42,1074.48
2010년08월25일,1908.99,1712.95,1510.52,1073.94
2010년08월26일,1908.16,1712.18,1509.80,1073.67
2010년08월27일,1907.33,1711.43,1509.16,1073.40
2010년08월28일,1907.67,1710.76,1508.43,1073.34
2010년08월29일,1907.18,1710.35,1508.03,1073.17
2010년08월30일,1907.33,1709.56,1507.42,1072.69
2010년08월31일,1904.67,1707.74,1505.66,1072.20
2010년09월01일,1903.54,1705.45,1503.47,1071.65
2010년09월02일,1902.86,1704.11,1502.26,1071.09
2010년09월03일,1903.11,1703.17,1501.43,1070.33
2010년09월04일,1902.20,1702.49,1500.84,1069.80
2010년09월05일,1901.73,1702.18,1500.53,1069.29
2010년09월06일,1901.80,1701.74,1501.14,1068.83
2010년09월07일,1905.56,1702.18,1500.47,1068.95
2010년09월08일,1905.88,1701.87,1500.17,1068.81
2010년09월09일,1905.40,1701.42,1499.87,1068.51
2010년09월10일,1904.74,1701.16,1499.85,1068.47
2010년09월11일,1904.34,1701.01,1499.62,1068.93
2010년09월12일,1904.18,1700.84,1499.46,1068.44
2010년09월13일,1903.69,1700.70,1499.43,1068.29
2010년09월14일,1902.89,1700.27,1499.02,1069.17
2010년09월15일,1902.03,1699.77,1498.70,1069.29
2010년09월16일,1901.43,1699.64,1498.51,1069.01
2010년09월17일,1901.75,1699.60,1498.52,1068.87
2010년09월18일,1901.57,1699.51,1498.42,1069.06
2010년09월19일,1901.86,1699.41,1498.26,1068.84
2010년09월20일,1901.88,1699.41,1498.43,1068.78
2010년09월21일,1902.27,1699.48,1498.49,1068.88
2010년09월22일,1902.61,1699.44,1498.51,1068.72
2010년09월23일,1902.46,1699.49,1498.43,1068.76
2010년09월24일,1901.85,1699.38,1498.54,1069.00
